,folder,Model,GenderSelf,Feminine,Attractive,LL,LL_F,LL_M,dist_centre_F,dist_centre_H,dist_centre
0,CFD,AF-200,F,5.62962963,4.111111111,-310.2597604087149,-271.7105774030162,,428.7899475097656,1138.8372802734375,812.5706176757812
1,CFD,AF-201,F,4.111111111,3.111111111,-290.8508710869867,-266.31294347097895,,160.1212158203125,845.7877807617188,521.1627807617188
2,CFD,AF-202,F,3.206896552,3,-297.22268796673336,-266.98897247558193,,311.40496826171875,416.3442077636719,103.163818359375
3,CFD,AF-203,F,5,3.275862069,-293.53282645120464,-261.67554167682954,,193.33419799804688,574.0645751953125,258.3539123535156
4,CFD,AF-204,F,4.62962963,3.172413793,-292.5765678430721,-265.04975052150803,,272.3586120605469,978.0667114257812,652.3470458984375
5,CFD,AF-205,F,5.076923077,4.333333333,-300.5544308421367,-267.35776136114714,,102.4515151977539,765.763916015625,442.2659912109375
6,CFD,AF-206,F,3.761904762,2.714285714,-276.1723568010647,-254.18102812386095,,223.28187561035156,908.3587036132812,584.0849609375
7,CFD,AF-207,F,3.482758621,2.137931034,-278.5958009831396,-257.7711963817448,,198.77523803710938,561.6115112304688,247.87510681152344
8,CFD,AF-208,F,3.576923077,3.038461538,-281.19289820170087,-257.46629023160494,,161.61685180664062,581.4046020507812,258.61376953125
9,CFD,AF-209,F,4.84,4.08,-288.20903595743414,-258.55529591621985,,260.5632629394531,463.3182678222656,139.18397521972656
10,CFD,AF-210,F,4,2.615384615,-293.2159075121535,-259.8202813200829,,154.79977416992188,643.0673217773438,325.9744567871094
11,CFD,AF-211,F,4.115384615,3.307692308,-359.59885787817313,-282.75157011256897,,122.37105560302734,784.5753784179688,462.1520080566406
12,CFD,AF-212,F,4.785714286,2.607142857,-297.21773812383157,-265.7516003514032,,343.5559997558594,1053.218994140625,726.7755737304688
13,CFD,AF-213,F,5.090909091,3,-281.5517423876533,-254.39403162937492,,113.96995544433594,810.6102905273438,484.3935546875
14,CFD,AF-214,F,5.08,3.730769231,-304.53992126914625,-264.6721704177146,,125.4119873046875,822.2855834960938,495.1164245605469
15,CFD,AF-215,F,4.296296296,2.814814815,-299.32177245789734,-262.4354574808216,,76.36769104003906,745.5674438476562,420.2751159667969
16,CFD,AF-216,F,4.666666667,3.266666667,-271.6678536653727,-247.3356132722034,,176.4490203857422,872.7832641601562,547.5367431640625
17,CFD,AF-217,F,4.833333333,3.833333333,-304.3034821956973,-267.2148495921604,,307.6476135253906,1012.8342895507812,686.7345581054688
18,CFD,AF-218,F,5.714285714,4.678571429,-336.4567038208215,-283.0964614827261,,420.419189453125,1133.4083251953125,805.8885498046875
19,CFD,AF-219,F,4.964285714,2.928571429,-297.0756166971079,-263.3736709614889,,181.22540283203125,710.2515869140625,401.2127685546875
20,CFD,AF-220,F,4.565217391,3.173913043,-300.83931747642663,-264.1902073301357,,253.97975158691406,496.6406555175781,189.24688720703125
21,CFD,AF-221,F,4.074074074,3,-278.3408328564781,-254.34678523375158,,142.89443969726562,837.3759765625,512.0677490234375
22,CFD,AF-222,F,4.551724138,3.689655172,-283.34859846585243,-257.5825070375293,,262.19677734375,940.4090576171875,619.7849731445312
23,CFD,AF-223,F,4.692307692,3.185185185,-290.6034369163684,-262.5460986114503,,364.142578125,1074.955322265625,748.1859130859375
24,CFD,AF-224,F,4.44,3.24,-315.29525729068797,-270.69349592020615,,189.40573120117188,559.767822265625,241.09225463867188
25,CFD,AF-225,F,4.655172414,3.034482759,-284.00682766056883,-264.4261621949585,,344.0927734375,1031.3076171875,710.1952514648438
26,CFD,AF-226,F,4.56,3.56,-309.6690040011736,-271.7744062749594,,293.93853759765625,986.8456420898438,663.1295166015625
27,CFD,AF-227,F,5.115384615,3.92,-281.8794010928458,-251.8694534084625,,199.7559814453125,897.9910278320312,572.872802734375
28,CFD,AF-228,F,5.115384615,4.346153846,-308.9226677081525,-270.3321675373573,,222.6259002685547,923.4496459960938,597.9985961914062
29,CFD,AF-229,F,4.925925926,4.37037037,-283.58276088546836,-256.8618140871541,,211.83847045898438,905.3258056640625,581.3746948242188
