,Model,Image,y_label,Attractive,GenderSelf,LL,LL_F,LL_M,dist_centre_F,dist_centre_H,dist_centre
0,AF1,AF1.jpg,F,2.333333333333333,F,-315.56119600148656,-310.3438411323973,,215.61233520507812,681.93896484375,262.7393798828125
1,AF10,AF10.jpg,F,3.433333333333333,F,-305.29795973937064,-306.1888668890495,,206.82345581054688,945.7319946289062,530.9047241210938
2,AF100,AF100.jpg,F,2.9,F,-291.5790602264266,-288.5716463301487,,149.92359924316406,967.640869140625,540.9901123046875
3,AF1000,AF1000.jpg,F,3.966666666666667,F,-334.5589801028997,-329.29977757043605,,338.46759033203125,1197.639892578125,766.6277465820312
4,AF1001,AF1001.jpg,F,3.733333333333333,F,-407.3651635648242,-401.1016743506153,,367.3069152832031,1184.3758544921875,762.9531860351562
5,AF1002,AF1002.jpg,F,2.6166666666666667,F,-329.3589725614187,-324.35180663128796,,213.6717987060547,887.7546997070312,479.73876953125
6,AF1003,AF1003.jpg,F,2.8666666666666667,F,-307.4855959510354,-302.38097782876764,,137.7410430908203,949.37255859375,522.884033203125
7,AF1004,AF1004.jpg,F,3.3,F,-305.11879270574593,-303.1238601348117,,303.9684753417969,1138.67578125,712.5706787109375
8,AF1005,AF1005.jpg,F,2.216666666666667,F,-299.22818759617974,-306.9278711959647,,342.89190673828125,547.1168212890625,147.38771057128906
9,AF1006,AF1006.jpg,F,3.45,F,-276.76498988453346,-275.5769921686932,,304.2033996582031,590.3607788085938,183.847900390625
10,AF1007,AF1007.jpg,F,2.7,F,-311.52556985763334,-309.52682262903545,,204.36691284179688,1039.3284912109375,611.761474609375
11,AF1008,AF1008.jpg,F,2.783333333333333,F,-376.27513955108725,-366.03438548296856,,318.0550842285156,1135.5616455078125,713.1598510742188
12,AF1009,AF1009.jpg,F,3.8666666666666663,F,-309.0800530394748,-307.89051346497763,,364.198486328125,1219.2088623046875,789.191162109375
13,AF101,AF101.jpg,F,2.35,F,-334.42874164229613,-331.72690394164664,,715.9273071289062,299.0855407714844,338.0374450683594
14,AF1010,AF1010.jpg,F,2.583333333333333,F,-302.3313036902367,-300.47741673217564,,169.4178009033203,808.3912353515625,392.8952941894531
15,AF1011,AF1011.jpg,F,3.1,F,-337.2408951324401,-332.7398161897055,,163.23806762695312,798.6650390625,381.4754638671875
16,AF1012,AF1012.jpg,F,2.7666666666666666,F,-303.4723208961992,-302.8627385679166,,250.32015991210938,1066.9022216796875,643.224365234375
17,AF1013,AF1013.jpg,F,3.816666666666667,F,-362.7459222919042,-354.8598496650248,,425.5108947753906,1230.5054931640625,812.9384765625
18,AF1014,AF1014.jpg,F,4.316666666666666,F,-293.19287319692404,-291.7241374401895,,99.2642822265625,856.3990478515625,430.0042724609375
19,AF1015,AF1015.jpg,F,3.683333333333333,F,-300.3850894156367,-297.5607996991915,,108.58589935302734,843.21044921875,417.9290771484375
20,AF1016,AF1016.jpg,F,3.816666666666667,F,-295.33941366694603,-299.8328400051538,,181.88648986816406,822.3468627929688,409.79974365234375
21,AF1017,AF1017.jpg,F,3.5,F,-295.6501597360813,-297.03935398070576,,116.8035659790039,824.5636596679688,400.05181884765625
22,AF1018,AF1018.jpg,F,3.316666666666667,F,-343.52851147449405,-341.83186742337716,,251.02841186523438,665.9404907226562,257.9017028808594
23,AF1019,AF1019.jpg,F,2.083333333333333,F,-293.3195671118645,-290.01593994993084,,117.1641616821289,810.8819580078125,385.8701477050781
24,AF102,AF102.jpg,F,2.8,F,-290.7708830944136,-287.9584000699794,,127.05208587646484,772.228271484375,345.6973876953125
25,AF1020,AF1020.jpg,F,2.8666666666666667,F,-313.8005979877316,-312.4631038210998,,141.29901123046875,932.3562622070312,507.832763671875
26,AF1021,AF1021.jpg,F,2.933333333333333,F,-302.6171749279524,-296.6425968786368,,206.78070068359375,673.286376953125,247.59580993652344
27,AF1022,AF1022.jpg,F,3.7666666666666666,F,-321.13860241093397,-317.80088365690574,,199.0590057373047,708.7324829101562,290.2247009277344
28,AF1023,AF1023.jpg,F,3.4,F,-302.14040300688504,-299.49105459201013,,490.8992004394531,1347.6007080078125,917.4814453125
29,AF1024,AF1024.jpg,F,3.3666666666666667,F,-314.90039789934184,-318.85426696545886,,406.5948181152344,1263.029052734375,832.79541015625
30,AF1025,AF1025.jpg,F,1.8666666666666667,F,-328.5994309619559,-325.25977902677226,,275.5457458496094,644.814453125,243.15194702148438
31,AM1569,AM1569.jpg,M,3.466666666666667,M,-314.70377282839746,,-303.6021049465445,1433.2264404296875,571.4638061523438,1001.8091430664062
32,AM157,AM157.jpg,M,3.6666666666666665,M,-324.5844110385618,,-318.33201000090537,836.3631591796875,127.12496185302734,413.64154052734375
33,AM1570,AM1570.jpg,M,4.133333333333334,M,-308.1567374688317,,-296.39284708344434,939.3463745117188,161.05226135253906,517.1286010742188
34,AM1571,AM1571.jpg,M,3.6666666666666665,M,-316.94948979081147,,-310.28691944881575,524.0155029296875,378.9775390625,149.58399963378906
35,AM1572,AM1572.jpg,M,4.3,M,-275.11332211031356,,-266.9063417812653,567.2907104492188,313.584716796875,152.78854370117188
36,AM1573,AM1573.jpg,M,2.9166666666666665,M,-291.14580710433256,,-284.3866451889043,825.534912109375,86.30138397216797,397.1715087890625
37,AM1574,AM1574.jpg,M,3.3833333333333333,M,-292.50739881286745,,-282.2917736133048,874.7772216796875,117.45386505126953,450.3138732910156
38,AM1575,AM1575.jpg,M,4.183333333333334,M,-310.6785526681524,,-305.662706835667,939.63330078125,112.26056671142578,510.9049072265625
39,AM1576,AM1576.jpg,M,4.316666666666666,M,-326.8502062560447,,-320.2689482271203,786.6744995117188,288.66094970703125,405.4111328125
40,AM1577,AM1577.jpg,M,2.65,M,-360.5443745413862,,-362.11778273676185,551.1681518554688,366.7579040527344,180.0447540283203
41,AM1578,AM1578.jpg,M,3.466666666666667,M,-301.77150367428374,,-291.37779864293134,609.5419311523438,268.1670227050781,187.0687713623047
42,AM1579,AM1579.jpg,M,4.283333333333333,M,-296.87962821200654,,-288.15175482962985,746.4953002929688,163.2587127685547,324.3787841796875
43,AM158,AM158.jpg,M,2.583333333333333,M,-301.5920925529433,,-301.29438339368846,437.927978515625,442.6844482421875,84.51341247558594
44,AM1580,AM1580.jpg,M,4.05,M,-304.23496985290325,,-302.189768418592,439.7940368652344,456.1903381347656,118.45458984375
45,AM1581,AM1581.jpg,M,4.416666666666667,M,-324.60575641418586,,-331.7323887601292,479.06787109375,502.54290771484375,233.01280212402344
46,AM1582,AM1582.jpg,M,3.6666666666666665,M,-286.3500273450192,,-281.97827811454056,556.4126586914062,360.7053527832031,181.98617553710938
47,AM1583,AM1583.jpg,M,1.35,M,-316.26147857370097,,-305.7164308741914,544.2530517578125,372.4333801269531,175.2890625
48,AM1584,AM1584.jpg,M,2.333333333333333,M,-318.3549572064323,,-319.3505143109003,502.78631591796875,425.4980773925781,173.74868774414062
