,Model,Image,y_label,Attractive,GenderSelf,LL,LL_F,LL_M,dist_centre_F,dist_centre_H,dist_centre
0,AF1,AF1.jpg,AF1,2.333333333333333,F,-527.1905145365694,-530.4458783284781,,213.08908081054688,219.76539611816406,210.01895141601562
1,AF10,AF10.jpg,AF10,3.433333333333333,F,-524.4658649466867,-526.574681072106,,224.2503662109375,244.09376525878906,228.45364379882812
2,AF100,AF100.jpg,AF100,2.9,F,-497.59632711781836,-493.044064295802,,162.6567840576172,192.49232482910156,170.32711791992188
3,AF1000,AF1000.jpg,AF1000,3.966666666666667,F,-568.4307232679752,-570.3555685830963,,281.8875732421875,308.8450012207031,290.99652099609375
4,AF1001,AF1001.jpg,AF1001,3.733333333333333,F,-590.0962576322552,-578.6963562143276,,322.6091613769531,344.79058837890625,329.7493896484375
5,AF1002,AF1002.jpg,AF1002,2.6166666666666667,F,-534.7942952688727,-531.5469149807598,,298.6622619628906,305.10467529296875,297.3215026855469
6,AF1003,AF1003.jpg,AF1003,2.8666666666666667,F,-514.5087327294261,-509.45072973575526,,209.84156799316406,242.62081909179688,220.69264221191406
7,AF1004,AF1004.jpg,AF1004,3.3,F,-511.54188611900963,-507.52533673437324,,198.4356689453125,242.91859436035156,215.52064514160156
8,AF1005,AF1005.jpg,AF1005,2.216666666666667,F,-520.255254728399,-534.3524940790659,,272.4492492675781,247.650146484375,255.0209197998047
9,AF1006,AF1006.jpg,AF1006,3.45,F,-488.5248891033483,-483.1546180107819,,141.19395446777344,167.03053283691406,145.51126098632812
10,AF1007,AF1007.jpg,AF1007,2.7,F,-523.7486572933683,-518.4966873106339,,222.6133575439453,259.0545349121094,235.77328491210938
11,AF1008,AF1008.jpg,AF1008,2.783333333333333,F,-569.6133220105265,-568.0894549015051,,287.5074462890625,318.2426452636719,298.7063903808594
12,AF1009,AF1009.jpg,AF1009,3.8666666666666663,F,-523.9319474180335,-517.723270911421,,202.59759521484375,232.54486083984375,211.7014923095703
13,AF101,AF101.jpg,AF101,2.35,F,-533.4987686767386,-531.5363341632644,,281.1077575683594,265.9068298339844,268.55181884765625
14,AF1010,AF1010.jpg,AF1010,2.583333333333333,F,-511.79606483627254,-510.85545261232267,,208.8893280029297,225.02728271484375,210.69427490234375
15,AF1011,AF1011.jpg,AF1011,3.1,F,-561.4217272746665,-554.987240685028,,305.6050720214844,326.4085693359375,311.80853271484375
16,AF1012,AF1012.jpg,AF1012,2.7666666666666666,F,-523.4120656322503,-516.2162533046105,,198.0716094970703,231.50160217285156,208.97067260742188
17,AF1013,AF1013.jpg,AF1013,3.816666666666667,F,-603.5994780612111,-584.5340454093613,,319.9331359863281,339.11114501953125,325.4732971191406
18,AF1014,AF1014.jpg,AF1014,4.316666666666666,F,-513.1226252008528,-511.0357843554778,,173.25296020507812,206.6600799560547,183.3536376953125
19,AF1015,AF1015.jpg,AF1015,3.683333333333333,F,-526.96591686401,-518.520842913064,,210.0233154296875,245.6268768310547,222.43479919433594
20,AF1016,AF1016.jpg,AF1016,3.816666666666667,F,-503.6319913362181,-502.14696568305004,,184.17066955566406,202.97984313964844,186.5901641845703
21,AF1017,AF1017.jpg,AF1017,3.5,F,-512.8774080517042,-514.9688507958604,,201.0255126953125,233.7639617919922,211.6234893798828
22,AF1018,AF1018.jpg,AF1018,3.316666666666667,F,-541.5508422620347,-547.5114264715817,,257.0964660644531,268.70458984375,257.6944580078125
23,AF1019,AF1019.jpg,AF1019,2.083333333333333,F,-495.38653897032844,-492.171911221069,,148.64633178710938,191.6001739501953,163.27659606933594
24,AF102,AF102.jpg,AF102,2.8,F,-502.21115892822746,-496.44282410758797,,178.5631103515625,201.13507080078125,182.82814025878906
25,AF1020,AF1020.jpg,AF1020,2.8666666666666667,F,-523.5704842004633,-520.0950451798176,,251.2214813232422,277.8031921386719,259.6141357421875
26,AF1021,AF1021.jpg,AF1021,2.933333333333333,F,-513.2641049847699,-507.7310453440435,,201.3192596435547,227.39637756347656,208.26747131347656
27,AF1022,AF1022.jpg,AF1022,3.7666666666666666,F,-536.1175276871223,-529.432112009401,,260.6282653808594,275.2619323730469,262.8767395019531
28,AF1023,AF1023.jpg,AF1023,3.4,F,-513.9596702285376,-505.9816817656859,,215.45091247558594,256.56207275390625,231.03604125976562
29,AF1024,AF1024.jpg,AF1024,3.3666666666666667,F,-520.0795581653566,-521.5281770008797,,243.23915100097656,264.1843566894531,248.4661102294922
30,AF1025,AF1025.jpg,AF1025,1.8666666666666667,F,-526.1909868278044,-534.1492321766435,,222.69456481933594,228.3112030029297,219.3524932861328
31,AM1569,AM1569.jpg,AM1569,3.466666666666667,M,-529.4781908100846,,-520.6714888375643,257.6976318359375,206.86988830566406,227.7228240966797
32,AM157,AM157.jpg,AM157,3.6666666666666665,M,-538.7503507935232,,-533.8609684527095,276.3212585449219,257.99835205078125,262.13427734375
33,AM1570,AM1570.jpg,AM1570,4.133333333333334,M,-521.9728541714588,,-512.3998958286857,238.2675323486328,199.86495971679688,213.576171875
34,AM1571,AM1571.jpg,AM1571,3.6666666666666665,M,-526.5439587771855,,-516.8313286512307,247.5635223388672,211.32449340820312,224.1181640625
35,AM1572,AM1572.jpg,AM1572,4.3,M,-488.5932699807745,,-479.4069899236007,150.049072265625,124.46044921875,127.50936126708984
36,AM1573,AM1573.jpg,AM1573,2.9166666666666665,M,-506.73509192539143,,-497.57531674051165,207.55714416503906,178.13194274902344,186.17616271972656
37,AM1574,AM1574.jpg,AM1574,3.3833333333333333,M,-506.970113124825,,-496.9659765630628,200.77796936035156,170.00962829589844,178.5037841796875
38,AM1575,AM1575.jpg,AM1575,4.183333333333334,M,-517.4496556319951,,-510.3346411799795,235.92135620117188,213.53359985351562,218.82369995117188
39,AM1576,AM1576.jpg,AM1576,4.316666666666666,M,-524.532050217111,,-516.8675439884206,255.1991729736328,222.93255615234375,233.81370544433594
40,AM1577,AM1577.jpg,AM1577,2.65,M,-581.8295567394841,,-580.4513604251262,284.3945617675781,264.4673156738281,269.5694580078125
41,AM1578,AM1578.jpg,AM1578,3.466666666666667,M,-521.4980892766366,,-512.2342818744283,246.76553344726562,220.61029052734375,228.1165008544922
42,AM1579,AM1579.jpg,AM1579,4.283333333333333,M,-508.46079296258546,,-499.8014893586157,201.03250122070312,167.74049377441406,177.57122802734375
43,AM158,AM158.jpg,AM158,2.583333333333333,M,-511.6427584197025,,-519.0524440800568,170.23779296875,190.37603759765625,172.82371520996094
44,AM1580,AM1580.jpg,AM1580,4.05,M,-507.1719909794085,,-514.9867305510321,181.7646484375,179.3115997314453,172.77609252929688
45,AM1581,AM1581.jpg,AM1581,4.416666666666667,M,-525.7880340648596,,-521.8559364452925,223.03756713867188,193.7508544921875,202.23411560058594
46,AM1582,AM1582.jpg,AM1582,3.6666666666666665,M,-496.7067376548806,,-488.7213075527978,176.89317321777344,156.11257934570312,158.38954162597656
47,AM1583,AM1583.jpg,AM1583,1.35,M,-519.9174129627893,,-511.4689299388879,224.6946563720703,192.66860961914062,202.63394165039062
48,AM1584,AM1584.jpg,AM1584,2.333333333333333,M,-547.4208234766165,,-550.6315004353087,302.59918212890625,287.32489013671875,290.3739013671875
49,AM1585,AM1585.jpg,AM1585,3.983333333333333,M,-499.11502990701274,,-493.04653744649556,188.05996704101562,174.47451782226562,173.66644287109375
