,Model,Image,y_label,Attractive,GenderSelf,LL,LL_F,LL_M,dist_centre_F,dist_centre_H,dist_centre
0,AF1,AF1.jpg,AF1,2.333333333333333,F,245.21644590965633,248.86525732774592,,0.7765557765960693,0.7893105745315552,0.7562198042869568
1,AF10,AF10.jpg,AF10,3.433333333333333,F,236.13690935780681,242.834098434276,,0.8062373995780945,0.8439478278160095,0.7999855279922485
2,AF100,AF100.jpg,AF100,2.9,F,248.30623715082388,258.3900794079753,,0.6934207081794739,0.8344137668609619,0.7398532032966614
3,AF1000,AF1000.jpg,AF1000,3.966666666666667,F,238.30087292821258,244.62273209739263,,0.7888240814208984,0.9381303191184998,0.8426205515861511
4,AF1001,AF1001.jpg,AF1001,3.733333333333333,F,223.15319843029562,232.181926312447,,0.8862023949623108,1.0517910718917847,0.9511325359344482
5,AF1002,AF1002.jpg,AF1002,2.6166666666666667,F,247.53767152106445,257.4643025525292,,0.7989916801452637,0.8462547659873962,0.7975655198097229
6,AF1003,AF1003.jpg,AF1003,2.8666666666666667,F,218.23924894768027,226.79920798071288,,0.8199925422668457,0.9043824076652527,0.8390417098999023
7,AF1004,AF1004.jpg,AF1004,3.3,F,251.38052608817108,259.59058038658264,,0.7111198902130127,0.8765836954116821,0.7719383239746094
8,AF1005,AF1005.jpg,AF1005,2.216666666666667,F,259.57583891846133,251.04945761451904,,0.7635642290115356,0.631559431552887,0.6706655025482178
9,AF1006,AF1006.jpg,AF1006,3.45,F,222.44655050347978,234.18453598646715,,0.7981599569320679,0.8882008790969849,0.8196483850479126
10,AF1007,AF1007.jpg,AF1007,2.7,F,242.25439759019963,250.92950998646637,,0.7867938876152039,0.8942225575447083,0.817424476146698
11,AF1008,AF1008.jpg,AF1008,2.783333333333333,F,217.81586192729816,221.97694312043825,,0.7785948514938354,0.9343745112419128,0.8357489705085754
12,AF1009,AF1009.jpg,AF1009,3.8666666666666663,F,235.56397108787004,241.01213344786134,,0.7381179928779602,0.9242416620254517,0.8113963007926941
13,AF101,AF101.jpg,AF101,2.35,F,241.87981231427796,244.69599470099635,,0.7387935519218445,0.736402153968811,0.7091512084007263
14,AF1010,AF1010.jpg,AF1010,2.583333333333333,F,249.38656881598249,253.89780189921493,,0.746707022190094,0.8401286005973816,0.7684641480445862
15,AF1011,AF1011.jpg,AF1011,3.1,F,215.13966567619147,220.02454645398404,,0.8613899350166321,1.0115107297897339,0.9172877073287964
16,AF1012,AF1012.jpg,AF1012,2.7666666666666666,F,227.97980649487158,241.62207487972154,,0.8019391298294067,0.9656583070755005,0.8640860319137573
17,AF1013,AF1013.jpg,AF1013,3.816666666666667,F,199.42568858676074,214.66816837550886,,0.925011157989502,1.0008291006088257,0.9420698285102844
18,AF1014,AF1014.jpg,AF1014,4.316666666666666,F,229.06283524687635,236.94083007427056,,0.7387111186981201,0.832504391670227,0.7604092955589294
19,AF1015,AF1015.jpg,AF1015,3.683333333333333,F,236.2933726770563,240.7848052126884,,0.776233434677124,0.9621220827102661,0.8502658605575562
20,AF1016,AF1016.jpg,AF1016,3.816666666666667,F,252.0547225128147,255.48241269455443,,0.644845187664032,0.7406713366508484,0.6641182899475098
21,AF1017,AF1017.jpg,AF1017,3.5,F,243.5861206338238,242.31803725555375,,0.7295455932617188,0.8303040862083435,0.7547610998153687
