,Model,Image,y_pred,y_true,sexe_f_prob,folder,GenderSelf,Feminine,Attractive,LL,LL_F,LL_M,dist_centre_F,dist_centre_H,dist_centre
0,AF-200,CFD-AF-200-228-N.jpg,0,0,0.9998814,CFD,F,5.62962963,4.111111111,-423.6483683300892,-417.77997439352396,,249.5841522216797,367.9727478027344,295.0920715332031
1,AF-201,CFD-AF-201-060-N.jpg,0,0,0.99544084,CFD,F,4.111111111,3.111111111,-409.7228588722939,-406.82503277923524,,288.8134460449219,369.8151550292969,313.68267822265625
2,AF-202,CFD-AF-202-122-N.jpg,0,0,0.63045484,CFD,F,3.206896552,3,-413.0717431090454,-420.19319113528843,,259.0595397949219,277.2191467285156,246.3040313720703
3,AF-203,CFD-AF-203-077-N.jpg,1,0,0.07287934,CFD,F,5,3.275862069,-430.00332043423737,-440.4295285976358,,257.75848388671875,286.80120849609375,251.32736206054688
4,AF-204,CFD-AF-204-067-N.jpg,0,0,0.9999759,CFD,F,4.62962963,3.172413793,-407.5429058740992,-403.31611301653527,,228.46192932128906,344.43304443359375,271.326904296875
5,AF-205,CFD-AF-205-155-N.jpg,1,0,0.40803012,CFD,F,5.076923077,4.333333333,-422.76821672592837,-425.45568376053757,,252.8572998046875,334.5637512207031,276.2835693359375
6,AF-206,CFD-AF-206-079-N.jpg,0,0,0.9970784,CFD,F,3.761904762,2.714285714,-457.8434728664787,-450.03061053057934,,349.0800476074219,455.3533935546875,390.5033264160156
7,AF-207,CFD-AF-207-023-N.jpg,0,0,0.9798307,CFD,F,3.482758621,2.137931034,-447.62722233463296,-458.34861017102696,,260.1303405761719,327.26910400390625,276.06280517578125
8,AF-208,CFD-AF-208-003-N.jpg,0,0,0.8575086,CFD,F,3.576923077,3.038461538,-438.0865218758089,-451.9067665845167,,271.95745849609375,343.9129943847656,291.2315368652344
9,AF-209,CFD-AF-209-006-N.jpg,1,0,0.35668522,CFD,F,4.84,4.08,-421.55017013911663,-430.64330376134444,,213.6621856689453,257.4838562011719,211.67837524414062
10,AF-210,CFD-AF-210-050-N.jpg,0,0,0.98500836,CFD,F,4,2.615384615,-421.5097481259082,-419.9069679812491,,223.55706787109375,326.8209533691406,258.69921875
11,AF-211,CFD-AF-211-066-N.jpg,0,0,0.9455641,CFD,F,4.115384615,3.307692308,-421.45296958065956,-422.6725724805198,,242.44190979003906,284.1596984863281,241.72373962402344
12,AF-212,CFD-AF-212-097-N.jpg,0,0,0.99966943,CFD,F,4.785714286,2.607142857,-435.13360576523905,-438.4437423100903,,201.4822540283203,339.9235534667969,257.78167724609375
13,AF-213,CFD-AF-213-126-N.jpg,0,0,0.9987821,CFD,F,5.090909091,3,-419.4517521142265,-419.7796598036876,,244.37281799316406,326.63775634765625,267.7543640136719
14,AF-214,CFD-AF-214-139-N.jpg,0,0,0.99969053,CFD,F,5.08,3.730769231,-413.3712776181195,-408.1223297707779,,216.61183166503906,324.4139099121094,253.8871307373047
15,AF-215,CFD-AF-215-70-N.jpg,0,0,0.9729408,CFD,F,4.296296296,2.814814815,-405.42999970419186,-399.03555543634417,,247.29632568359375,333.5593566894531,273.3606872558594
16,AF-216,CFD-AF-216-106-N.jpg,0,0,0.9901867,CFD,F,4.666666667,3.266666667,-397.702054565971,-389.0370995818102,,285.7386474609375,386.8506164550781,322.271484375
17,AF-217,CFD-AF-217-155-N.jpg,0,0,0.9996183,CFD,F,4.833333333,3.833333333,-416.6467796787944,-415.9460617820421,,245.81382751464844,340.4896240234375,276.6226501464844
18,AF-218,CFD-AF-218-157-N.jpg,0,0,0.99990857,CFD,F,5.714285714,4.678571429,-415.3632851227534,-404.20045730934896,,273.5589904785156,369.91510009765625,306.765625
19,AF-219,CFD-AF-219-106-N.jpg,0,0,0.61581266,CFD,F,4.964285714,2.928571429,-486.77896403400337,-502.3388577979488,,334.9444885253906,420.9624328613281,364.451904296875
20,AF-221,CFD-AF-221-147-N.jpg,1,0,0.0123946145,CFD,F,4.074074074,3,-424.8271762614654,-436.4435973261342,,285.3962707519531,318.7411193847656,283.7864990234375
21,AF-222,CFD-AF-222-134-N.jpg,0,0,0.99996877,CFD,F,4.551724138,3.689655172,-405.08325096900444,-399.02503633957923,,254.56298828125,367.3980712890625,296.50238037109375
22,AF-223,CFD-AF-223-183-N.jpg,0,0,0.99262756,CFD,F,4.692307692,3.185185185,-445.74259392413535,-443.9276555158567,,367.09735107421875,445.87066650390625,393.77655029296875
23,AF-224,CFD-AF-224-026-N.jpg,0,0,0.99997044,CFD,F,4.44,3.24,-422.4191016491187,-423.99470345734255,,235.477294921875,338.94580078125,271.0738525390625
24,AF-225,CFD-AF-225-141-N.jpg,0,0,0.6602835,CFD,F,4.655172414,3.034482759,-422.322893136475,-431.33527249183936,,244.75299072265625,292.2903137207031,247.29241943359375
25,AF-226,CFD-AF-226-251-N.jpg,0,0,0.995023,CFD,F,4.56,3.56,-439.31737840665744,-440.1576611824357,,362.1243896484375,448.1836853027344,392.5413513183594
26,AF-227,CFD-AF-227-207-N.jpg,0,0,0.98057693,CFD,F,5.115384615,3.92,-479.0717778985533,-482.94115151410483,,335.0619201660156,398.45660400390625,351.8766174316406
