,Model,Image,y_pred,y_true,sexe_f_prob,Attractive,GenderSelf,LL,LL_F,LL_M,dist_centre_F,dist_centre_H,dist_centre
0,AF1,AF1.jpg,0,0,0.9731188,2.333333333333333,F,-443.96781790505577,-440.57379771389117,,279.8805236816406,341.7032775878906,291.91583251953125
1,AF10,AF10.jpg,0,0,0.9880116,3.433333333333333,F,-440.43398213220104,-441.84598663037775,,328.7888488769531,394.97967529296875,346.01043701171875
2,AF100,AF100.jpg,0,0,0.9999727,2.9,F,-411.95429061068995,-407.7676465817369,,181.6770477294922,298.396484375,220.66087341308594
3,AF1000,AF1000.jpg,0,0,0.999987,3.966666666666667,F,-483.4989892611311,-476.3883524276366,,358.8044128417969,470.2715148925781,403.2563171386719
4,AF1001,AF1001.jpg,0,0,0.99976045,3.733333333333333,F,-507.8642330894512,-499.89883985804767,,396.73590087890625,428.9554443359375,397.95574951171875
5,AF1002,AF1002.jpg,0,0,0.9995751,2.6166666666666667,F,-438.42752742675447,-434.12456411388575,,288.04876708984375,354.6931457519531,303.40960693359375
6,AF1003,AF1003.jpg,0,0,0.99982446,2.8666666666666667,F,-436.7567392719974,-432.67300968645156,,243.65560913085938,348.6048889160156,279.4895935058594
7,AF1004,AF1004.jpg,0,0,0.99990594,3.3,F,-425.1044604443439,-423.8456863393568,,254.7690887451172,342.8977966308594,280.9106750488281
8,AF1005,AF1005.jpg,0,0,0.62900233,2.216666666666667,F,-420.2353197706243,-434.7022959163395,,271.8644104003906,254.35861206054688,238.68809509277344
9,AF1006,AF1006.jpg,0,0,0.9497242,3.45,F,-401.75340070072843,-398.6696785393647,,191.0561981201172,216.1478271484375,171.11074829101562
10,AF1007,AF1007.jpg,0,0,0.99989057,2.7,F,-429.8163266733679,-423.9049679643888,,260.8161926269531,382.9502258300781,308.2299499511719
11,AF1008,AF1008.jpg,0,0,0.9995869,2.783333333333333,F,-522.3778669727492,-507.98947890799377,,398.7857971191406,506.5521545410156,442.13153076171875
12,AF1009,AF1009.jpg,0,0,0.999992,3.8666666666666663,F,-445.0340955109368,-438.6034277234393,,268.45513916015625,403.4939270019531,324.19970703125
13,AF101,AF101.jpg,1,0,0.254063,2.35,F,-457.9992485624255,-453.2534078449537,,361.9374084472656,360.5846252441406,343.76983642578125
